            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2461134.887873901, A.D. 2026-Apr-04 09:18:32.3050, -3.041069577127700E+05, -2.589093804865184E+05, -3.196421577750561E+04,  6.166111126605498E-01, -7.656714442700856E-01, -4.343585978574188E-02,
2461134.894818345, A.D. 2026-Apr-04 09:28:32.3050, -3.037366530610372E+05, -2.593684908873042E+05, -3.199024096556964E+04,  6.177374695466666E-01, -7.646962904500221E-01, -4.331475338916391E-02,
2461134.901762790, A.D. 2026-Apr-04 09:38:32.3050, -3.033656730577836E+05, -2.598270157138235E+05, -3.201619346515374E+04,  6.188622840852860E-01, -7.637195304552666E-01, -4.319356489832638E-02,
2461134.908707234, A.D. 2026-Apr-04 09:48:32.3050, -3.029940186289776E+05, -2.602849540031045E+05, -3.204207322708356E+04,  6.199855544098352E-01, -7.627411667302963E-01, -4.307229458707973E-02,
2461134.915651678, A.D. 2026-Apr-04 09:58:32.3050, -3.026216907017071E+05, -2.607423047936429E+05, -3.206788020234893E+04,  6.211072786577639E-01, -7.617612017206987E-01, -4.295094272922884E-02,
2461134.922596123, A.D. 2026-Apr-04 10:08:32.3050, -3.022486902041754E+05, -2.611990671254018E+05, -3.209361434210405E+04,  6.222274549705409E-01, -7.607796378731649E-01, -4.282950959853227E-02,
2461134.929540567, A.D. 2026-Apr-04 10:18:32.3050, -3.018750180657004E+05, -2.616552400398126E+05, -3.211927559766731E+04,  6.233460814936498E-01, -7.597964776354821E-01, -4.270799546870152E-02,
2461134.936485012, A.D. 2026-Apr-04 10:28:32.3050, -3.015006752167111E+05, -2.621108225797761E+05, -3.214486392052143E+04,  6.244631563765850E-01, -7.588117234565260E-01, -4.258640061340080E-02,
2461134.943429456, A.D. 2026-Apr-04 10:38:32.3050, -3.011256625887459E+05, -2.625658137896622E+05, -3.217037926231306E+04,  6.255786777728486E-01, -7.578253777862546E-01, -4.246472530624668E-02,
2461134.950373901, A.D. 2026-Apr-04 10:48:32.3050, -3.007499811144496E+05, -2.630202127153115E+05, -3.219582157485325E+04,  6.266926438399454E-01, -7.568374430756996E-01, -4.234296982080699E-02,
2461134.957318345, A.D. 2026-Apr-04 10:58:32.3050, -3.003736317275715E+05, -2.634740184040354E+05, -3.222119081011708E+04,  6.278050527393805E-01, -7.558479217769605E-01, -4.222113443060105E-02,
2461134.964262790, A.D. 2026-Apr-04 11:08:32.3050, -2.999966153629628E+05, -2.639272299046168E+05, -3.224648692024371E+04,  6.289159026366531E-01, -7.548568163431965E-01, -4.209921940909889E-02,
2461134.971207234, A.D. 2026-Apr-04 11:18:32.3050, -2.996189329565740E+05, -2.643798462673111E+05, -3.227170985753642E+04,  6.300251917012551E-01, -7.538641292286197E-01, -4.197722502972034E-02,
