            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2461137.832318345, A.D. 2026-Apr-07 07:58:32.3050, -1.310653585342874E+05, -3.765873021272522E+05, -3.747191423802025E+04,  2.140885802195834E-01,  4.488560468108224E-01, -1.877104679992753E-02,
2461137.839262790, A.D. 2026-Apr-07 08:08:32.3050, -1.309361033890414E+05, -3.763178609143376E+05, -3.748310512855160E+04,  2.167493267888644E-01,  4.492850039484445E-01, -1.853243258013307E-02,
2461137.846207234, A.D. 2026-Apr-07 08:18:32.3050, -1.308052740487914E+05, -3.760481557492451E+05, -3.749415375257074E+04,  2.193365314519987E-01,  4.497358266340983E-01, -1.829679601291154E-02,
2461137.853151678, A.D. 2026-Apr-07 08:28:32.3050, -1.306729135215901E+05, -3.757781736237064E+05, -3.750506184546265E+04,  2.218538767736251E-01,  4.502081423067094E-01, -1.806396828633505E-02,
2461137.860096123, A.D. 2026-Apr-07 08:38:32.3050, -1.305390626778309E+05, -3.755079017565500E+05, -3.751583104462363E+04,  2.243048090152380E-01,  4.507015673646127E-01, -1.783379144123484E-02,
2461137.867040567, A.D. 2026-Apr-07 08:48:32.3050, -1.304037603863414E+05, -3.752373275991855E+05, -3.752646289571498E+04,  2.266925566854638E-01,  4.512157106975730E-01, -1.760611751863086E-02,
2461137.873985012, A.D. 2026-Apr-07 08:58:32.3050, -1.302670436400665E+05, -3.749664388391486E+05, -3.753695885842826E+04,  2.290201468826888E-01,  4.517501767855857E-01, -1.738080779095591E-02,
2461137.880929456, A.D. 2026-Apr-07 09:08:32.3050, -1.301289476721966E+05, -3.746952234019901E+05, -3.754732031180931E+04,  2.312904207496773E-01,  4.523045681505843E-01, -1.715773205212401E-02,
2461137.887873901, A.D. 2026-Apr-07 09:18:32.3050, -1.299895060636254E+05, -3.744236694517736E+05, -3.755754855917621E+04,  2.335060470238972E-01,  4.528784875471737E-01, -1.693676798204946E-02,
2461137.894818345, A.D. 2026-Apr-07 09:28:32.3050, -1.298487508424411E+05, -3.741517653904190E+05, -3.756764483267088E+04,  2.356695349807205E-01,  4.534715396346319E-01, -1.671780055295735E-02,
2461137.901762790, A.D. 2026-Apr-07 09:38:32.3050, -1.297067125761813E+05, -3.738794998560852E+05, -3.757761029747389E+04,  2.377832457105191E-01,  4.540833325030878E-01, -1.650072150223839E-02,
2461137.908707234, A.D. 2026-Apr-07 09:48:32.3050, -1.295634199440020E+05, -3.736068620030585E+05, -3.758744573584043E+04,  2.398799305322297E-01,  4.546966895674602E-01, -1.626640820843461E-02,
2461137.915651678, A.D. 2026-Apr-07 09:58:32.3050, -1.294180686969133E+05, -3.733342987270579E+05, -3.759663368440888E+04,  2.348544788283808E-01,  4.592214053076794E-01, -2.044327492789630E-02,
2461137.922596123, A.D. 2026-Apr-07 10:08:32.3050, -1.292679101516291E+05, -3.730633106287053E+05, -3.760344870038870E+04,  2.433399484410787E-01,  4.563456944739817E-01, -1.618336608322640E-02,
2461137.929540567, A.D. 2026-Apr-07 10:18:32.3050, -1.291208320110211E+05, -3.727895697667197E+05, -3.761278934993457E+04,  2.459105304719827E-01,  4.566790339581024E-01, -1.557754912245068E-02,
2461137.936485012, A.D. 2026-Apr-07 10:28:32.3050, -1.289727148953921E+05, -3.725153533048895E+05, -3.762207312700943E+04,  2.478066861669846E-01,  4.573786208084870E-01, -1.536860632386441E-02,
2461137.943429456, A.D. 2026-Apr-07 10:38:32.3050, -1.288234716261636E+05, -3.722407121184340E+05, -3.763123194822841E+04,  2.496646461343973E-01,  4.580947245135212E-01, -1.516101718744250E-02,
2461137.950373901, A.D. 2026-Apr-07 10:48:32.3050, -1.286731246430024E+05, -3.719656364011665E+05, -3.764026660383971E+04,  2.514859884749546E-01,  4.588270000239680E-01, -1.495470920435132E-02,
2461137.957318345, A.D. 2026-Apr-07 10:58:32.3050, -1.285216954641088E+05, -3.716901165514602E+05, -3.764917784173699E+04,  2.532722076039859E-01,  4.595751105462026E-01, -1.474961365799332E-02,
2461137.964262790, A.D. 2026-Apr-07 11:08:32.3050, -1.283692047348784E+05, -3.714141431672291E+05, -3.765796636966159E+04,  2.550247193103782E-01,  4.603387277557682E-01, -1.454566538293206E-02,
2461137.971207234, A.D. 2026-Apr-07 11:18:32.3050, -1.282156722734425E+05, -3.711377070408479E+05, -3.766663285725960E+04,  2.567448661744834E-01,  4.611175317801145E-01, -1.434280252560138E-02,
2461137.978151678, A.D. 2026-Apr-07 11:28:32.3050, -1.280611171132835E+05, -3.708607991540472E+05, -3.767517793800721E+04,  2.584339218528608E-01,  4.619112113240464E-01, -1.414096633863973E-02,
2461137.985096123, A.D. 2026-Apr-07 11:38:32.3050, -1.279055575431591E+05, -3.705834106727691E+05, -3.768360221101367E+04,  2.600930957085313E-01,  4.627194634500756E-01, -1.394010097552009E-02,
2461137.992040567, A.D. 2026-Apr-07 11:48:32.3050, -1.277490111446512E+05, -3.703055329422866E+05, -3.769190624270277E+04,  2.617235365150955E-01,  4.635419937824166E-01, -1.374015331752654E-02,
2461137.998985012, A.D. 2026-Apr-07 11:58:32.3050, -1.275914948271477E+05, -3.700271574818654E+05, -3.770009056840536E+04,  2.633263364980186E-01,  4.643785162375296E-01, -1.354107279598893E-02,
2461138.005929456, A.D. 2026-Apr-07 12:08:32.3050, -1.274330248609493E+05, -3.697482759799992E+05, -3.770815569383654E+04,  2.649025343587250E-01,  4.652287529706071E-01, -1.334281124304637E-02,
2461138.012873901, A.D. 2026-Apr-07 12:18:32.3050, -1.272736169082638E+05, -3.694688802894538E+05, -3.771610209649212E+04,  2.664531188925314E-01,  4.660924342099864E-01, -1.314532273708477E-02,
2461138.019818345, A.D. 2026-Apr-07 12:28:32.3050, -1.271132860523626E+05, -3.691889624224506E+05, -3.772393022695697E+04,  2.679790315536542E-01,  4.669692981882202E-01, -1.294856347663678E-02,
2461138.026762790, A.D. 2026-Apr-07 12:38:32.3050, -1.269520468250375E+05, -3.689085145459344E+05, -3.773164051013776E+04,  2.694811696103055E-01,  4.678590908950021E-01, -1.275249164622400E-02,
2461138.033707234, A.D. 2026-Apr-07 12:48:32.3050, -1.267899132324411E+05, -3.686275289769452E+05, -3.773923334641922E+04,  2.709603883255570E-01,  4.687615660023738E-01, -1.255706730677839E-02,
2461138.040651678, A.D. 2026-Apr-07 12:58:32.3050, -1.266268987794538E+05, -3.683459981780830E+05, -3.774670911275657E+04,  2.724175037448230E-01,  4.696764846010879E-01, -1.236225227756094E-02,
2461138.047596123, A.D. 2026-Apr-07 13:08:32.3050, -1.264630164926441E+05, -3.680639147530871E+05, -3.775406816370139E+04,  2.738532945383297E-01,  4.706036151149823E-01, -1.216801004532861E-02,
2461138.054540567, A.D. 2026-Apr-07 13:18:32.3050, -1.262982789419217E+05, -3.677812714424608E+05, -3.776131083237129E+04,  2.752685045304699E-01,  4.715427331074666E-01, -1.197430566038413E-02,
2461138.061485012, A.D. 2026-Apr-07 13:28:32.3050, -1.261326982611174E+05, -3.674980611194841E+05, -3.776843743135863E+04,  2.766638440022942E-01,  4.724936207663964E-01, -1.178110564756765E-02,
2461138.068429456, A.D. 2026-Apr-07 13:38:32.3050, -1.259662861671384E+05, -3.672142767857886E+05, -3.777544825359892E+04,  2.780399924168965E-01,  4.734560674960565E-01, -1.158837793491113E-02,
2461138.075373901, A.D. 2026-Apr-07 13:48:32.3050, -1.257990539783593E+05, -3.669299115675866E+05, -3.778234357318077E+04,  2.793975992140937E-01,  4.744298689448883E-01, -1.139609176510101E-02,
2461138.082318345, A.D. 2026-Apr-07 13:58:32.3050, -1.256310126318907E+05, -3.666449587117407E+05, -3.778912364611449E+04,  2.807372860585463E-01,  4.754148271771459E-01, -1.120421762319801E-02,
2461138.089262790, A.D. 2026-Apr-07 14:08:32.3050, -1.254621726999309E+05, -3.663594115819973E+05, -3.779578871106057E+04,  2.820596478836542E-01,  4.764107504893126E-01, -1.101272717772384E-02,
2461138.096207234, A.D. 2026-Apr-07 14:18:32.3050, -1.252925444052708E+05, -3.660732636553242E+05, -3.780233899001556E+04,  2.833652546901996E-01,  4.774174531469960E-01, -1.082159320616197E-02,
2461138.103151678, A.D. 2026-Apr-07 14:28:32.3050, -1.251221376359655E+05, -3.657865085183605E+05, -3.780877468896352E+04,  2.846546524581144E-01,  4.784347552894712E-01, -1.063078954540406E-02,
2461138.110096123, A.D. 2026-Apr-07 14:38:32.3050, -1.249509619592628E+05, -3.654991398639652E+05, -3.781509599849214E+04,  2.859283647799996E-01,  4.794624826778063E-01, -1.044029102668423E-02,
2461138.117040567, A.D. 2026-Apr-07 14:48:32.3050, -1.247790266347966E+05, -3.652111514878737E+05, -3.782130309437501E+04,  2.871868936159985E-01,  4.805004666078894E-01, -1.025007343356923E-02,
2461138.123985012, A.D. 2026-Apr-07 14:58:32.3050, -1.246063406270925E+05, -3.649225372853941E+05, -3.782739613812727E+04,  2.884307208315431E-01,  4.815485437424438E-01, -1.006011344101279E-02,
2461138.130929456, A.D. 2026-Apr-07 15:08:32.3050, -1.244329126175896E+05, -3.646332912484859E+05, -3.783337527752438E+04,  2.896603085560820E-01,  4.826065556016333E-01, -9.870388576285333E-03,
2461138.137873901, A.D. 2026-Apr-07 15:18:32.3050, -1.242587510157542E+05, -3.643434074623736E+05, -3.783924064710648E+04,  2.908761010811414E-01,  4.836743492057278E-01, -9.680877177648872E-03,
2461138.144818345, A.D. 2026-Apr-07 15:28:32.3050, -1.240838639699443E+05, -3.640528801028100E+05, -3.784499236864633E+04,  2.920785248195693E-01,  4.847517761073397E-01, -9.491558347673013E-03,
2461138.151762790, A.D. 2026-Apr-07 15:38:32.3050, -1.239082593776053E+05, -3.637617034331546E+05, -3.785063055159815E+04,  2.932679898358984E-01,  4.858386926158154E-01, -9.302411914451553E-03,
2461138.158707234, A.D. 2026-Apr-07 15:48:32.3050, -1.237319448949794E+05, -3.634698718015967E+05, -3.785615529352346E+04,  2.944448901886555E-01,  4.869349596379501E-01, -9.113418401917261E-03,
2461138.165651678, A.D. 2026-Apr-07 15:58:32.3050, -1.235549279463686E+05, -3.631773796384590E+05, -3.786156668049615E+04,  2.956096050933245E-01,  4.880404424582107E-01, -8.924558988084835E-03,
2461138.172596123, A.D. 2026-Apr-07 16:08:32.3050, -1.233772157329355E+05, -3.628842214535930E+05, -3.786686478748589E+04,  2.967624992301279E-01,  4.891550106815163E-01, -8.735815478098929E-03,
2461138.179540567, A.D. 2026-Apr-07 16:18:32.3050, -1.231988152411091E+05, -3.625903918338453E+05, -3.787204967872555E+04,  2.979039238258268E-01,  4.902785380239053E-01, -8.547170267760640E-03,
2461138.186485012, A.D. 2026-Apr-07 16:28:32.3050, -1.230197332505755E+05, -3.622958854406109E+05, -3.787712140805720E+04,  2.990342168816303E-01,  4.914109022601511E-01, -8.358606324795320E-03,
2461138.193429456, A.D. 2026-Apr-07 16:38:32.3050, -1.228399763418850E+05, -3.620006970073996E+05, -3.788208001926601E+04,  3.001537042366197E-01,  4.925519851082840E-01, -8.170107150714340E-03,
2461138.200373901, A.D. 2026-Apr-07 16:48:32.3050, -1.226595509038590E+05, -3.617048213377644E+05, -3.788692554639064E+04,  3.012626994549840E-01,  4.937016717393888E-01, -7.981656757413552E-03,
2461138.207318345, A.D. 2026-Apr-07 16:58:32.3050, -1.224784631403418E+05, -3.614082533027293E+05, -3.789165801402924E+04,  3.023615053285995E-01,  4.948598514965845E-01, -7.793239652280043E-03,
2461138.214262790, A.D. 2026-Apr-07 17:08:32.3050, -1.222967190769593E+05, -3.611109878388536E+05, -3.789627743762243E+04,  3.034504134130953E-01,  4.960264169366951E-01, -7.604840804816243E-03,
2461138.221207234, A.D. 2026-Apr-07 17:18:32.3050, -1.221143245674336E+05, -3.608130199460822E+05, -3.790078382372572E+04,  3.045297052071526E-01,  4.972012641085672E-01, -7.416445624992163E-03,
2461138.228151678, A.D. 2026-Apr-07 17:28:32.3050, -1.219312852996244E+05, -3.605143446857149E+05, -3.790517717027414E+04,  3.055996521749950E-01,  4.983842924167413E-01, -7.228040030621885E-03,
2461138.235096123, A.D. 2026-Apr-07 17:38:32.3050, -1.217476068013091E+05, -3.602149571784571E+05, -3.790945746701547E+04,  3.066605164505156E-01,  4.995754044572526E-01, -7.039610602230406E-03,
2461138.242040567, A.D. 2026-Apr-07 17:48:32.3050, -1.215632944457550E+05, -3.599148526024793E+05, -3.791362469546794E+04,  3.077125510839631E-01,  5.007745060335882E-01, -6.851143538465360E-03,
2461138.248985012, A.D. 2026-Apr-07 17:58:32.3050, -1.213783534569937E+05, -3.596140261915685E+05, -3.791767882913091E+04,  3.087560005150767E-01,  5.019815059487047E-01, -6.662625831917596E-03,
2461138.255929456, A.D. 2026-Apr-07 18:08:32.3050, -1.211927889148875E+05, -3.593124732333404E+05, -3.792161983380344E+04,  3.097911009386931E-01,  5.031963159772805E-01, -6.474044823017694E-03,
2461138.262873901, A.D. 2026-Apr-07 18:18:32.3050, -1.210066057599535E+05, -3.590101890674508E+05, -3.792544766779133E+04,  3.108180805762727E-01,  5.044188506569316E-01, -6.285388186944879E-03,
2461138.269818345, A.D. 2026-Apr-07 18:28:32.3050, -1.208198087981416E+05, -3.587071690841214E+05, -3.792916228209945E+04,  3.118371601295465E-01,  5.056490273949726E-01, -6.096643917953976E-03,
2461138.276762790, A.D. 2026-Apr-07 18:38:32.3050, -1.206324027050835E+05, -3.584034087221675E+05, -3.793276362062428E+04,  3.128485530334263E-01,  5.068867662854417E-01, -5.907800317038275E-03,
2461138.283707234, A.D. 2026-Apr-07 18:48:32.3050, -1.204443920259498E+05, -3.580989034837303E+05, -3.793625161446798E+04,  3.138525043977314E-01,  5.081318531604097E-01, -5.718796152781563E-03,
2461138.290651678, A.D. 2026-Apr-07 18:58:32.3050, -1.202557807667574E+05, -3.577936504080163E+05, -3.793962563847027E+04,  3.148131308414514E-01,  5.095131431536046E-01, -5.577108978956358E-03,
2461138.297596123, A.D. 2026-Apr-07 19:08:32.3050, -1.200664403351629E+05, -3.574880830436449E+05, -3.794274019868973E+04,  3.158726000427292E-01,  5.106198357135405E-01, -5.373050213156649E-03,
2461138.304540567, A.D. 2026-Apr-07 19:18:32.3050, -1.198766196242531E+05, -3.571813387353780E+05, -3.794590441865269E+04,  3.168584280511581E-01,  5.118753983346753E-01, -5.179264775060005E-03,
2461138.311485012, A.D. 2026-Apr-07 19:28:32.3050, -1.196862114566175E+05, -3.568738315242860E+05, -3.794895513416312E+04,  3.178343591395420E-01,  5.131498330925801E-01, -4.989760419790518E-03,
2461138.318429456, A.D. 2026-Apr-07 19:38:32.3050, -1.194952197018020E+05, -3.565655575087917E+05, -3.795189209834246E+04,  3.188037474625378E-01,  5.144314022944461E-01, -4.800092002212292E-03,
2461138.325373901, A.D. 2026-Apr-07 19:48:32.3050, -1.193036482340972E+05, -3.562565124272243E+05, -3.795471520977137E+04,  3.197667632821347E-01,  5.157200428560204E-01, -4.610249617372719E-03,
2461138.332318345, A.D. 2026-Apr-07 19:58:32.3050, -1.191115008273476E+05, -3.559466920553355E+05, -3.795742436115012E+04,  3.207235714206667E-01,  5.170156934808197E-01, -4.420223570795218E-03,
2461138.339262790, A.D. 2026-Apr-07 20:08:32.3050, -1.189187811578680E+05, -3.556360922047861E+05, -3.796001943942504E+04,  3.216743319803936E-01,  5.183182954166667E-01, -4.230004373088986E-03,
2461138.346207234, A.D. 2026-Apr-07 20:18:32.3050, -1.187254928074390E+05, -3.553247087219955E+05, -3.796250032590730E+04,  3.226192000464240E-01,  5.196277916193255E-01, -4.039582728785990E-03,
2461138.353151678, A.D. 2026-Apr-07 20:28:32.3050, -1.185316392661853E+05, -3.550125374870079E+05, -3.796486689638665E+04,  3.235583260986641E-01,  5.209441270621484E-01, -3.848949526289475E-03,
2461138.360096123, A.D. 2026-Apr-07 20:38:32.3050, -1.183372239352918E+05, -3.546995744123103E+05, -3.796711902123954E+04,  3.244918561517657E-01,  5.222672486204845E-01, -3.658095832963948E-03,
2461138.367040567, A.D. 2026-Apr-07 20:48:32.3050, -1.181422501296323E+05, -3.543858154417074E+05, -3.796925656553441E+04,  3.254199319213829E-01,  5.235971050178100E-01, -3.467012885756404E-03,
2461138.373985012, A.D. 2026-Apr-07 20:58:32.3050, -1.179467210803006E+05, -3.540712565492284E+05, -3.797127938913077E+04,  3.263426909855631E-01,  5.249336467742285E-01, -3.275692084626802E-03,
2461138.380929456, A.D. 2026-Apr-07 21:08:32.3050, -1.177506399370460E+05, -3.537558937380641E+05, -3.797318734677491E+04,  3.272602669394417E-01,  5.262768261571797E-01, -3.084124983751296E-03,
